"month","media","checkouts"
2021-12-01,BOOK,190679
2021-12-01,EBOOK,224924
2021-11-01,BOOK,243240
2021-11-01,EBOOK,214359
2021-10-01,BOOK,242731
2021-10-01,EBOOK,212721
2021-09-01,BOOK,239202
2021-09-01,EBOOK,211340
2021-08-01,BOOK,227207
2021-08-01,EBOOK,227637
2021-07-01,BOOK,222018
2021-07-01,EBOOK,222243
2021-06-01,BOOK,183898
2021-06-01,EBOOK,227008
2021-05-01,BOOK,146931
2021-05-01,EBOOK,229656
2021-04-01,BOOK,142501
2021-04-01,EBOOK,219603
2021-03-01,BOOK,151512
2021-03-01,EBOOK,238763
2021-02-01,BOOK,128069
2021-02-01,EBOOK,225306
2021-01-01,BOOK,127957
2021-01-01,EBOOK,251933
2020-12-01,BOOK,108072
2020-12-01,EBOOK,244492
2020-11-01,BOOK,91158
2020-11-01,EBOOK,235396
2020-10-01,BOOK,90449
2020-10-01,EBOOK,236815
2020-09-01,BOOK,64693
2020-09-01,EBOOK,242337
2020-08-01,BOOK,8223
2020-08-01,EBOOK,253472
2020-07-01,BOOK,51
2020-07-01,EBOOK,251358
2020-06-01,BOOK,43
2020-06-01,EBOOK,247083
2020-05-01,BOOK,87
2020-05-01,EBOOK,255744
2020-04-01,BOOK,68
2020-04-01,EBOOK,235051
2020-03-01,BOOK,213391
2020-03-01,EBOOK,210058
2020-02-01,BOOK,314900
2020-02-01,EBOOK,183789
2020-01-01,BOOK,340110
2020-01-01,EBOOK,198354
2019-12-01,BOOK,292864
2019-12-01,EBOOK,191468
2019-11-01,BOOK,320760
2019-11-01,EBOOK,178938
2019-10-01,BOOK,331020
2019-10-01,EBOOK,180885
2019-09-01,BOOK,325518
2019-09-01,EBOOK,177592
2019-08-01,BOOK,337295
2019-08-01,EBOOK,190006
2019-07-01,BOOK,353046
2019-07-01,EBOOK,187679
2019-06-01,BOOK,328584
2019-06-01,EBOOK,173408
2019-05-01,BOOK,311321
2019-05-01,EBOOK,172002
2019-04-01,BOOK,323569
2019-04-01,EBOOK,170263
2019-03-01,BOOK,322977
2019-03-01,EBOOK,172191
2019-02-01,BOOK,296367
2019-02-01,EBOOK,161613
2019-01-01,BOOK,348573
2019-01-01,EBOOK,174364
2018-12-01,BOOK,296798
2018-12-01,EBOOK,164757
2018-11-01,BOOK,321935
2018-11-01,EBOOK,154753
2018-10-01,BOOK,335074
2018-10-01,EBOOK,160025
2018-09-01,BOOK,316108
2018-09-01,EBOOK,157447
2018-08-01,BOOK,349112
2018-08-01,EBOOK,170354
2018-07-01,BOOK,347513
2018-07-01,EBOOK,167149
2018-06-01,BOOK,338143
2018-06-01,EBOOK,152686
2018-05-01,BOOK,314658
2018-05-01,EBOOK,148449
2018-04-01,BOOK,327296
2018-04-01,EBOOK,147932
2018-03-01,BOOK,340776
2018-03-01,EBOOK,150496
2018-02-01,BOOK,306379
2018-02-01,EBOOK,135768
2018-01-01,BOOK,351197
2018-01-01,EBOOK,150764
2017-12-01,BOOK,301134
2017-12-01,EBOOK,143032
2017-11-01,BOOK,331363
2017-11-01,EBOOK,133163
2017-10-01,BOOK,338085
2017-10-01,EBOOK,132888
2017-09-01,BOOK,326850
2017-09-01,EBOOK,129757
2017-08-01,BOOK,348916
2017-08-01,EBOOK,143495
2017-07-01,BOOK,358627
2017-07-01,EBOOK,136420
2017-06-01,BOOK,327409
2017-06-01,EBOOK,129912
2017-05-01,BOOK,310153
2017-05-01,EBOOK,128027
2017-04-01,BOOK,318962
2017-04-01,EBOOK,126790
2017-03-01,BOOK,334800
2017-03-01,EBOOK,128565
2017-02-01,BOOK,295535
2017-02-01,EBOOK,117677
2017-01-01,BOOK,327112
2017-01-01,EBOOK,128915
2016-12-01,BOOK,297622
2016-12-01,EBOOK,125680
2016-11-01,BOOK,326934
2016-11-01,EBOOK,117918
2016-10-01,BOOK,342343
2016-10-01,EBOOK,118215
2016-09-01,BOOK,309934
2016-09-01,EBOOK,118993
2016-08-01,BOOK,323659
2016-08-01,EBOOK,126352
2016-07-01,BOOK,328531
2016-07-01,EBOOK,125635
2016-06-01,BOOK,321865
2016-06-01,EBOOK,118905
2016-05-01,BOOK,307102
2016-05-01,EBOOK,119602
2016-04-01,BOOK,308510
2016-04-01,EBOOK,115367
2016-03-01,BOOK,331082
2016-03-01,EBOOK,118479
2016-02-01,BOOK,308049
2016-02-01,EBOOK,110553
2016-01-01,BOOK,335890
2016-01-01,EBOOK,120286
2015-12-01,BOOK,287474
2015-12-01,EBOOK,116458
2015-11-01,BOOK,323089
2015-11-01,EBOOK,110825
2015-10-01,BOOK,336223
2015-10-01,EBOOK,111479
2015-09-01,BOOK,339669
2015-09-01,EBOOK,112674
2015-08-01,BOOK,354284
2015-08-01,EBOOK,120065
2015-07-01,BOOK,357568
2015-07-01,EBOOK,119064
2015-06-01,BOOK,290622
2015-06-01,EBOOK,108668
2015-05-01,BOOK,315522
2015-05-01,EBOOK,106853
2015-04-01,BOOK,329260
2015-04-01,EBOOK,105243
2015-03-01,BOOK,350381
2015-03-01,EBOOK,109775
2015-02-01,BOOK,305869
2015-02-01,EBOOK,99085
2015-01-01,BOOK,341351
2015-01-01,EBOOK,109199
