"month","subject","checkouts"
2021-12-01,Fiction,160960
2021-12-01,Nonfiction,90296
2021-11-01,Fiction,151919
2021-11-01,Nonfiction,86026
2021-10-01,Fiction,151945
2021-10-01,Nonfiction,86188
2021-09-01,Fiction,148560
2021-09-01,Nonfiction,85203
2021-08-01,Fiction,159840
2021-08-01,Nonfiction,92320
2021-07-01,Fiction,155534
2021-07-01,Nonfiction,89287
2021-06-01,Fiction,30244
2021-06-01,Nonfiction,16658
2021-05-01,Fiction,19148
2021-05-01,Nonfiction,10584
2021-04-01,Fiction,70768
2021-04-01,Nonfiction,43211
2021-03-01,Fiction,151424
2021-03-01,Nonfiction,94108
2021-02-01,Fiction,97190
2021-02-01,Nonfiction,60521
2021-01-01,Fiction,35406
2021-01-01,Nonfiction,21607
2020-12-01,Fiction,35680
2020-12-01,Nonfiction,19190
2020-11-01,Fiction,58616
2020-11-01,Nonfiction,35876
2020-10-01,Fiction,38554
2020-10-01,Nonfiction,21801
2020-09-01,Fiction,66232
2020-09-01,Nonfiction,41853
2020-08-01,Fiction,86735
2020-08-01,Nonfiction,53924
2020-07-01,Fiction,127919
2020-07-01,Nonfiction,81667
2020-06-01,Fiction,28767
2020-06-01,Nonfiction,16435
2020-05-01,Fiction,2216
2020-05-01,Nonfiction,352
2020-04-01,Fiction,4352
2020-04-01,Nonfiction,1495
2020-03-01,Fiction,143035
2020-03-01,Nonfiction,83633
2020-02-01,Fiction,60216
2020-02-01,Nonfiction,35858
2020-01-01,Fiction,51669
2020-01-01,Nonfiction,32102
2019-12-01,Fiction,109604
2019-12-01,Nonfiction,67391
2019-11-01,Fiction,61314
2019-11-01,Nonfiction,39477
2019-10-01,Fiction,1424
2019-10-01,Nonfiction,180
2019-09-01,Fiction,24948
2019-09-01,Nonfiction,14476
2019-08-01,Fiction,55448
2019-08-01,Nonfiction,35345
2019-07-01,Fiction,2122
2019-07-01,Nonfiction,272
2019-06-01,Fiction,20541
2019-06-01,Nonfiction,12316
2019-05-01,Fiction,1117
2019-05-01,Nonfiction,105
2019-04-01,Fiction,54798
2019-04-01,Nonfiction,34885
2019-03-01,Fiction,88902
2019-03-01,Nonfiction,54238
2019-02-01,Fiction,11211
2019-02-01,Nonfiction,6219
2019-01-01,Fiction,31580
2019-01-01,Nonfiction,18064
2018-12-01,Fiction,72315
2018-12-01,Nonfiction,41778
2018-11-01,Fiction,95922
2018-11-01,Nonfiction,54497
2018-10-01,Fiction,99648
2018-10-01,Nonfiction,57271
2018-09-01,Fiction,98733
2018-09-01,Nonfiction,55500
2018-08-01,Fiction,105506
2018-08-01,Nonfiction,58924
2018-07-01,Fiction,103870
2018-07-01,Nonfiction,57617
2018-06-01,Fiction,122920
2018-06-01,Nonfiction,67470
2018-05-01,Fiction,92226
2018-05-01,Nonfiction,51908
2018-04-01,Fiction,88026
2018-04-01,Nonfiction,48020
2018-03-01,Fiction,94000
2018-03-01,Nonfiction,50838
2018-02-01,Fiction,82349
2018-02-01,Nonfiction,45484
2018-01-01,Fiction,92303
2018-01-01,Nonfiction,51671
2017-12-01,Fiction,64112
2017-12-01,Nonfiction,34592
2017-11-01,Fiction,7214
2017-11-01,Nonfiction,3660
2017-10-01,Fiction,32065
2017-10-01,Nonfiction,15453
2017-09-01,Fiction,41595
2017-09-01,Nonfiction,20023
2017-08-01,Fiction,8862
2017-08-01,Nonfiction,3459
2017-07-01,Fiction,24092
2017-07-01,Nonfiction,11068
2017-06-01,Fiction,37332
2017-06-01,Nonfiction,18003
2017-05-01,Fiction,38204
2017-05-01,Nonfiction,17785
2017-04-01,Fiction,75447
2017-04-01,Nonfiction,36608
2017-03-01,Fiction,63449
2017-03-01,Nonfiction,30455
2017-02-01,Fiction,56575
2017-02-01,Nonfiction,26444
2017-01-01,Fiction,96132
2017-01-01,Nonfiction,45592
2016-12-01,Fiction,95494
2016-12-01,Nonfiction,44924
2016-11-01,Fiction,85340
2016-11-01,Nonfiction,38169
2016-10-01,Fiction,73132
2016-10-01,Nonfiction,32697
2016-09-01,Fiction,74327
2016-09-01,Nonfiction,32558
2016-08-01,Fiction,24526
2016-08-01,Nonfiction,10456
2016-07-01,Fiction,50986
2016-07-01,Nonfiction,21950
2016-06-01,Fiction,23465
2016-06-01,Nonfiction,9452
2016-05-01,Fiction,35262
2016-05-01,Nonfiction,14747
2016-04-01,Fiction,35983
2016-04-01,Nonfiction,15465
2016-03-01,Fiction,9027
2016-03-01,Nonfiction,3794
2016-02-01,Fiction,19502
2016-02-01,Nonfiction,7935
2016-01-01,Fiction,35896
2016-01-01,Nonfiction,15952
2015-12-01,Fiction,37834
2015-12-01,Nonfiction,17686
2015-11-01,Fiction,55298
2015-11-01,Nonfiction,24618
2015-10-01,Fiction,47563
2015-10-01,Nonfiction,19590
2015-09-01,Fiction,31142
2015-09-01,Nonfiction,12230
2015-08-01,Fiction,37635
2015-08-01,Nonfiction,13798
2015-07-01,Fiction,42935
2015-07-01,Nonfiction,17257
2015-06-01,Fiction,69206
2015-06-01,Nonfiction,27657
2015-05-01,Fiction,71794
2015-05-01,Nonfiction,28524
2015-04-01,Fiction,46082
2015-04-01,Nonfiction,19030
2015-03-01,Fiction,36944
2015-03-01,Nonfiction,15174
2015-02-01,Fiction,37449
2015-02-01,Nonfiction,15653
2015-01-01,Fiction,44338
2015-01-01,Nonfiction,18721
