"month","subject","checkouts"
2021-12-01,literature,73889
2021-12-01,romance,41557
2021-12-01,thriller,39643
2021-12-01,fantasy,39355
2021-12-01,mystery,39276
2021-12-01,historical fiction,33739
2021-12-01,juvenile fiction,30698
2021-12-01,suspense,25089
2021-12-01,humor (fiction),21872
2021-12-01,juvenile literature,21600
2021-12-01,science fiction,18346
2021-12-01,graphic novels,16461
2021-12-01,young adult fiction,15070
2021-12-01,picture books,13896
2021-12-01,cartoons and comics,9323
2021-12-01,young adult literature,9264
2021-12-01,classic literature,7686
2021-12-01,lgbtqia+ (fiction),6067
2021-12-01,humorous stories,5966
2021-12-01,historical fiction,5691
2021-12-01,short stories,5445
2021-12-01,stories in rhyme,4288
2021-12-01,science fiction,3590
2021-12-01,domestic fiction,3535
2021-12-01,horror,3256
2021-12-01,humorous fiction,3197
2021-12-01,fantasy comics,2930
2021-12-01,psychological fiction,2783
2021-12-01,short stories,2319
2021-12-01,love stories,2226
2021-12-01,adventure and adventurers fiction,2126
2021-12-01,young adult fiction,1972
2021-12-01,adventure stories,1693
2021-12-01,western,1436
2021-12-01,erotic literature,1428
2021-12-01,science fiction & fantasy,1352
2021-12-01,paranormal fiction,1321
2021-12-01,christian fiction,852
2021-12-01,christian fiction,225
2021-11-01,literature,68291
2021-11-01,thriller,39492
2021-11-01,romance,38457
2021-11-01,fantasy,37767
2021-11-01,mystery,37358
2021-11-01,historical fiction,32321
2021-11-01,juvenile fiction,31149
2021-11-01,suspense,25722
2021-11-01,juvenile literature,21741
2021-11-01,graphic novels,21171
2021-11-01,humor (fiction),20065
2021-11-01,picture books,19471
2021-11-01,science fiction,16579
2021-11-01,young adult fiction,14413
2021-11-01,cartoons and comics,12092
2021-11-01,young adult literature,8797
2021-11-01,humorous stories,8158
2021-11-01,classic literature,7367
2021-11-01,historical fiction,6277
2021-11-01,stories in rhyme,6236
2021-11-01,lgbtqia+ (fiction),5716
2021-11-01,short stories,5107
2021-11-01,domestic fiction,4640
2021-11-01,science fiction,4264
2021-11-01,humorous fiction,4106
2021-11-01,horror,3723
2021-11-01,fantasy comics,3600
2021-11-01,psychological fiction,3359
2021-11-01,adventure and adventurers fiction,3040
2021-11-01,short stories,2580
2021-11-01,love stories,2388
2021-11-01,adventure stories,2358
2021-11-01,young adult fiction,2262
2021-11-01,western,1501
2021-11-01,paranormal fiction,1369
2021-11-01,science fiction & fantasy,1333
2021-11-01,erotic literature,1211
2021-11-01,christian fiction,856
2021-11-01,christian fiction,271
2021-10-01,literature,67628
2021-10-01,thriller,39380
2021-10-01,romance,38722
2021-10-01,mystery,37342
2021-10-01,fantasy,37146
2021-10-01,historical fiction,31396
2021-10-01,juvenile fiction,28143
2021-10-01,suspense,25290
2021-10-01,graphic novels,20589
2021-10-01,juvenile literature,19404
2021-10-01,humor (fiction),19226
2021-10-01,picture books,18976
2021-10-01,science fiction,16952
2021-10-01,young adult fiction,14799
2021-10-01,cartoons and comics,11646
2021-10-01,humorous stories,8562
2021-10-01,young adult literature,8459
2021-10-01,classic literature,7377
2021-10-01,historical fiction,6421
2021-10-01,stories in rhyme,6125
2021-10-01,lgbtqia+ (fiction),5453
2021-10-01,short stories,5022
2021-10-01,horror,4274
2021-10-01,domestic fiction,4227
2021-10-01,science fiction,4169
2021-10-01,humorous fiction,4137
2021-10-01,fantasy comics,3555
2021-10-01,psychological fiction,3227
2021-10-01,adventure and adventurers fiction,2748
2021-10-01,short stories,2677
2021-10-01,young adult fiction,2298
2021-10-01,adventure stories,2295
2021-10-01,love stories,2250
2021-10-01,western,1538
2021-10-01,science fiction & fantasy,1333
2021-10-01,erotic literature,1200
2021-10-01,paranormal fiction,1159
2021-10-01,christian fiction,873
2021-10-01,christian fiction,264
2021-09-01,literature,66446
2021-09-01,romance,37710
2021-09-01,thriller,37275
2021-09-01,mystery,36195
2021-09-01,fantasy,34357
2021-09-01,historical fiction,30934
2021-09-01,juvenile fiction,27062
2021-09-01,suspense,24729
2021-09-01,graphic novels,20951
