"month","media","checkouts"
2021-12-01,ATLAS,23
2021-12-01,AUDIOBOOK,150250
2021-12-01,BOOK,190679
2021-12-01,CR,67
2021-12-01,EBOOK,224924
2021-12-01,ER,59
2021-12-01,"ER, MAP",1
2021-12-01,"ER, NONPROJGRAPH",1
2021-12-01,"ER, PRINT",1
2021-12-01,"ER, SOUNDDISC",35
2021-12-01,"ER, VIDEODISC",40
2021-12-01,KIT,2
2021-12-01,LARGEPRINT,182
2021-12-01,MAP,20
2021-12-01,MIXED,737
2021-12-01,MUSIC,354
2021-12-01,MUSICSNDREC,3
2021-12-01,NOTATEDMUSIC,1
2021-12-01,REGPRINT,1878
2021-12-01,"REGPRINT, SOUNDDISC",3
2021-12-01,"REGPRINT, VIDEOREC",2
2021-12-01,SOUNDCASS,3
2021-12-01,"SOUNDCASS, SOUNDDISC, VIDEOCASS, VIDEODISC",1
2021-12-01,SOUNDDISC,15427
2021-12-01,"SOUNDDISC, VIDEODISC",128
2021-12-01,SOUNDREC,56
2021-12-01,UNSPECIFIED,24
2021-12-01,VIDEO,84
2021-12-01,VIDEOCART,1
2021-12-01,VIDEOCASS,1
2021-12-01,VIDEODISC,46561
2021-12-01,VIDEOREC,3
2021-12-01,VISUAL,24
2021-11-01,ATLAS,45
2021-11-01,AUDIOBOOK,144230
2021-11-01,BOOK,243240
2021-11-01,CR,130
2021-11-01,EBOOK,214359
2021-11-01,ER,88
2021-11-01,"ER, NONPROJGRAPH",4
2021-11-01,"ER, REGPRINT",1
2021-11-01,"ER, SOUNDDISC",32
2021-11-01,"ER, VIDEODISC",38
2021-11-01,LARGEPRINT,170
2021-11-01,MAP,34
2021-11-01,MIXED,816
2021-11-01,MUSIC,341
2021-11-01,MUSICSNDREC,3
2021-11-01,NOTATEDMUSIC,1
2021-11-01,REGPRINT,2521
2021-11-01,"REGPRINT, SOUNDDISC",1
2021-11-01,"REGPRINT, VIDEOREC",4
2021-11-01,SOUNDCASS,1
2021-11-01,SOUNDDISC,16980
2021-11-01,"SOUNDDISC, VIDEODISC",160
2021-11-01,SOUNDREC,51
2021-11-01,UNSPECIFIED,24
2021-11-01,VIDEO,101
2021-11-01,VIDEOCART,1
2021-11-01,VIDEOCASS,2
2021-11-01,VIDEODISC,51266
2021-11-01,VIDEOREC,2
2021-11-01,VISUAL,17
2021-10-01,ATLAS,29
2021-10-01,AUDIOBOOK,145046
2021-10-01,BOOK,242731
2021-10-01,COMPFILE,1
2021-10-01,CR,108
2021-10-01,EBOOK,212721
2021-10-01,ER,83
2021-10-01,"ER, NONPROJGRAPH",3
2021-10-01,"ER, SOUNDDISC",31
2021-10-01,"ER, VIDEODISC",42
2021-10-01,"FLASHCARD, SOUNDDISC",2
2021-10-01,KIT,1
2021-10-01,LARGEPRINT,166
2021-10-01,MAP,32
2021-10-01,MICROFORM,1
2021-10-01,MIXED,837
2021-10-01,MUSIC,398
2021-10-01,MUSICSNDREC,2
2021-10-01,REGPRINT,2450
2021-10-01,"REGPRINT, SOUNDDISC",1
2021-10-01,"REGPRINT, VIDEOREC",7
2021-10-01,SOUNDCASS,1
2021-10-01,SOUNDDISC,17281
2021-10-01,"SOUNDDISC, VIDEODISC",131
2021-10-01,SOUNDREC,57
2021-10-01,UNSPECIFIED,21
2021-10-01,VIDEO,56
2021-10-01,VIDEOCASS,1
2021-10-01,VIDEODISC,51980
2021-10-01,VIDEOREC,4
2021-10-01,VISUAL,19
2021-09-01,ATLAS,16
2021-09-01,AUDIOBOOK,134955
2021-09-01,BOOK,239202
2021-09-01,"BOOK, ER",1
2021-09-01,COMPFILE,1
2021-09-01,CR,136
2021-09-01,EBOOK,211340
2021-09-01,ER,79
2021-09-01,"ER, MAP",1
2021-09-01,"ER, NONPROJGRAPH",4
2021-09-01,"ER, SOUNDDISC",35
2021-09-01,"ER, VIDEODISC",36
2021-09-01,"FLASHCARD, SOUNDDISC",3
2021-09-01,LARGEPRINT,166
2021-09-01,MAP,32
2021-09-01,MICROFORM,2
2021-09-01,MIXED,787
2021-09-01,MUSIC,311
2021-09-01,NOTATEDMUSIC,1
2021-09-01,REGPRINT,2332
2021-09-01,"REGPRINT, SOUNDDISC",5
2021-09-01,"REGPRINT, VIDEOREC",5
2021-09-01,SOUNDDISC,17701
2021-09-01,"SOUNDDISC, VIDEODISC",156
2021-09-01,SOUNDREC,75
2021-09-01,UNSPECIFIED,33
2021-09-01,VIDEO,97
2021-09-01,VIDEOCASS,2
2021-09-01,VIDEODISC,50274
2021-09-01,VISUAL,25
2021-08-01,ATLAS,22
2021-08-01,AUDIOBOOK,147233
2021-08-01,BOOK,227207
2021-08-01,CR,102
2021-08-01,EBOOK,227637
2021-08-01,ER,77
2021-08-01,"ER, MAP",2
2021-08-01,"ER, NONPROJGRAPH",3
2021-08-01,"ER, SOUNDDISC",27
2021-08-01,"ER, VIDEODISC",32
2021-08-01,KIT,1
2021-08-01,LARGEPRINT,163
2021-08-01,MAP,71
2021-08-01,"MAP, VIEW",2
2021-08-01,MICROFORM,1
2021-08-01,MIXED,730
2021-08-01,MUSIC,293
2021-08-01,MUSICSNDREC,2
2021-08-01,NOTATEDMUSIC,1
2021-08-01,REGPRINT,2332
2021-08-01,"REGPRINT, SOUNDDISC",1
2021-08-01,REMOTESEN,1
2021-08-01,SOUNDCASS,2
2021-08-01,"SOUNDCASS, SOUNDDISC",1
2021-08-01,SOUNDDISC,16875
2021-08-01,"SOUNDDISC, VIDEODISC",173
2021-08-01,SOUNDREC,54
2021-08-01,UNSPECIFIED,34
2021-08-01,VIDEO,102
2021-08-01,VIDEOCART,1
2021-08-01,VIDEODISC,46699
2021-08-01,VIDEOREC,1
2021-08-01,VISUAL,37
2021-07-01,ATLAS,28
2021-07-01,AUDIOBOOK,142077
2021-07-01,BOOK,222018
2021-07-01,CR,149
2021-07-01,EBOOK,222243
2021-07-01,ER,64
2021-07-01,"ER, NONPROJGRAPH",2
2021-07-01,"ER, SOUNDDISC",31
2021-07-01,"ER, VIDEODISC",52
2021-07-01,"FLASHCARD, SOUNDDISC",3
2021-07-01,LARGEPRINT,144
2021-07-01,MAP,60
2021-07-01,MICROFORM,1
2021-07-01,MIXED,817
2021-07-01,MUSIC,221
2021-07-01,MUSICSNDREC,1
2021-07-01,NOTATEDMUSIC,1
2021-07-01,REGPRINT,2173
2021-07-01,"REGPRINT, SOUNDDISC",1
2021-07-01,"REGPRINT, VIDEOREC",4
2021-07-01,SOUNDCASS,3
2021-07-01,SOUNDDISC,15752
2021-07-01,"SOUNDDISC, SOUNDREC",1
2021-07-01,"SOUNDDISC, VIDEOCASS",1
2021-07-01,"SOUNDDISC, VIDEODISC",148
2021-07-01,SOUNDREC,67
2021-07-01,UNSPECIFIED,36
2021-07-01,VIDEO,98
2021-07-01,VIDEOCART,2
2021-07-01,VIDEOCASS,2
2021-07-01,VIDEODISC,42355
2021-07-01,VIDEOREC,1
2021-07-01,VISUAL,17
2021-06-01,ATLAS,14
2021-06-01,AUDIOBOOK,136544
2021-06-01,BOOK,183898
2021-06-01,CR,93
2021-06-01,EBOOK,227008
2021-06-01,ER,71
2021-06-01,"ER, NONPROJGRAPH",2
2021-06-01,"ER, PRINT",1
2021-06-01,"ER, REGPRINT",1
2021-06-01,"ER, SOUNDDISC",31
2021-06-01,"ER, VIDEODISC",31
2021-06-01,"FLASHCARD, SOUNDDISC",1
2021-06-01,GLOBE,1
2021-06-01,LARGEPRINT,151
2021-06-01,MAP,32
2021-06-01,"MAP, VIEW",1
2021-06-01,MIXED,801
2021-06-01,MUSIC,204
2021-06-01,MUSICSNDREC,5
2021-06-01,NOTATEDMUSIC,1
2021-06-01,REGPRINT,1812
2021-06-01,"REGPRINT, SOUNDDISC",4
2021-06-01,"REGPRINT, VIDEOREC",1
2021-06-01,SOUNDCASS,1
2021-06-01,"SOUNDCASS, SOUNDDISC, VIDEOCASS, VIDEODISC",1
2021-06-01,SOUNDDISC,13436
2021-06-01,"SOUNDDISC, VIDEODISC",125
2021-06-01,SOUNDREC,46
2021-06-01,UNSPECIFIED,26
2021-06-01,VIDEO,117
2021-06-01,VIDEOCASS,1
2021-06-01,VIDEODISC,33912
2021-06-01,VIDEOREC,1
2021-06-01,VISUAL,3
2021-05-01,ATLAS,9
2021-05-01,AUDIOBOOK,140841
2021-05-01,BOOK,146931
2021-05-01,"BOOK, ER",1
2021-05-01,CR,46
2021-05-01,EBOOK,229656
2021-05-01,ER,82
2021-05-01,"ER, SOUNDDISC",14
2021-05-01,"ER, VIDEODISC",25
2021-05-01,"ER, VIDEOREC",1
2021-05-01,"FLASHCARD, SOUNDDISC",1
2021-05-01,LARGEPRINT,158
2021-05-01,MAP,26
2021-05-01,MICROFORM,3
2021-05-01,MIXED,623
2021-05-01,MUSIC,206
2021-05-01,MUSICSNDREC,1
2021-05-01,REGPRINT,1375
2021-05-01,"REGPRINT, SOUNDDISC",4
2021-05-01,"REGPRINT, VIDEOREC",3
2021-05-01,SOUNDCASS,2
2021-05-01,"SOUNDCASS, SOUNDDISC",1
2021-05-01,SOUNDDISC,11822
2021-05-01,"SOUNDDISC, VIDEODISC",105
2021-05-01,SOUNDREC,48
2021-05-01,UNSPECIFIED,29
2021-05-01,VIDEO,100
2021-05-01,VIDEOCART,2
2021-05-01,VIDEOCASS,1
2021-05-01,VIDEODISC,27922
2021-05-01,VIDEOREC,3
2021-05-01,VISUAL,4
2021-04-01,ATLAS,8
2021-04-01,AUDIOBOOK,134304
2021-04-01,BOOK,142501
2021-04-01,CR,65
2021-04-01,EBOOK,219603
2021-04-01,ER,56
2021-04-01,"ER, SOUNDDISC",24
2021-04-01,"ER, VIDEODISC",21
2021-04-01,"FLASHCARD, SOUNDDISC",3
2021-04-01,KIT,1
2021-04-01,LARGEPRINT,88
2021-04-01,MAP,29
2021-04-01,MICROFORM,1
2021-04-01,MIXED,514
2021-04-01,MUSIC,188
2021-04-01,NOTATEDMUSIC,2
2021-04-01,PICTURE,1
2021-04-01,REGPRINT,1240
2021-04-01,"REGPRINT, SOUNDDISC",3
2021-04-01,SOUNDCASS,2
2021-04-01,SOUNDDISC,11877
2021-04-01,"SOUNDDISC, VIDEODISC",112
2021-04-01,SOUNDREC,33
2021-04-01,UNSPECIFIED,30
2021-04-01,VIDEO,87
2021-04-01,VIDEOCASS,2
2021-04-01,VIDEODISC,30556
2021-04-01,VIDEOREC,3
2021-04-01,VISUAL,6
2021-03-01,ATLAS,9
2021-03-01,AUDIOBOOK,142400
2021-03-01,BOOK,151512
2021-03-01,CR,44
2021-03-01,EBOOK,238763
2021-03-01,ER,71
2021-03-01,"ER, NONPROJGRAPH",1
2021-03-01,"ER, PRINT",4
2021-03-01,"ER, SOUNDDISC",22
2021-03-01,"ER, VIDEODISC",23
2021-03-01,"FLASHCARD, SOUNDDISC",1
2021-03-01,LARGEPRINT,106
2021-03-01,MAP,30
2021-03-01,MICROFORM,1
2021-03-01,MIXED,418
2021-03-01,MUSIC,244
2021-03-01,MUSICSNDREC,2
2021-03-01,NOTATEDMUSIC,1
2021-03-01,REGPRINT,1281
2021-03-01,"REGPRINT, SOUNDDISC",4
2021-03-01,"REGPRINT, VIDEOREC",1
2021-03-01,SOUNDDISC,12808
2021-03-01,"SOUNDDISC, SOUNDREC",2
2021-03-01,"SOUNDDISC, VIDEOCASS",1
2021-03-01,"SOUNDDISC, VIDEODISC",118
2021-03-01,SOUNDREC,54
2021-03-01,UNSPECIFIED,34
2021-03-01,VIDEO,120
2021-03-01,VIDEOCART,1
2021-03-01,VIDEOCASS,1
2021-03-01,VIDEODISC,35322
2021-03-01,VIDEOREC,1
2021-03-01,VISUAL,10
2021-02-01,ATLAS,10
2021-02-01,AUDIOBOOK,128084
2021-02-01,BOOK,128069
2021-02-01,CR,45
2021-02-01,EBOOK,225306
2021-02-01,ER,58
2021-02-01,"ER, NONPROJGRAPH",1
2021-02-01,"ER, REGPRINT",1
2021-02-01,"ER, SOUNDDISC",12
2021-02-01,"ER, VIDEODISC",22
2021-02-01,"FLASHCARD, SOUNDDISC",2
2021-02-01,KIT,1
2021-02-01,LARGEPRINT,89
2021-02-01,MAP,13
2021-02-01,MICROFORM,1
2021-02-01,MIXED,284
2021-02-01,MUSIC,232
2021-02-01,MUSICSNDREC,3
2021-02-01,REGPRINT,940
2021-02-01,"REGPRINT, SOUNDDISC",4
2021-02-01,"REGPRINT, VIDEOREC",1
2021-02-01,SOUNDCASS,1
2021-02-01,SOUNDDISC,11694
2021-02-01,"SOUNDDISC, SOUNDREC",2
2021-02-01,"SOUNDDISC, VIDEOCASS",1
2021-02-01,"SOUNDDISC, VIDEODISC",103
2021-02-01,SOUNDREC,47
2021-02-01,UNSPECIFIED,14
2021-02-01,VIDEO,99
2021-02-01,VIDEOCART,1
2021-02-01,VIDEOCASS,1
2021-02-01,VIDEODISC,32185
2021-02-01,VISUAL,8
2021-01-01,ATLAS,11
2021-01-01,AUDIOBOOK,141654
2021-01-01,BOOK,127957
2021-01-01,CR,43
2021-01-01,EBOOK,251933
2021-01-01,ER,70
2021-01-01,"ER, NONPROJGRAPH",1
2021-01-01,"ER, SOUNDDISC",23
2021-01-01,"ER, VIDEODISC",13
2021-01-01,LARGEPRINT,94
2021-01-01,MAP,28
2021-01-01,MICROFORM,2
2021-01-01,MIXED,326
2021-01-01,MUSIC,222
2021-01-01,MUSICSNDREC,1
2021-01-01,REGPRINT,962
2021-01-01,"REGPRINT, SOUNDDISC",7
2021-01-01,"REGPRINT, VIDEOREC",1
2021-01-01,SOUNDDISC,11881
2021-01-01,"SOUNDDISC, SOUNDREC",1
2021-01-01,"SOUNDDISC, VIDEODISC",110
2021-01-01,SOUNDREC,23
2021-01-01,UNSPECIFIED,1
2021-01-01,VIDEO,131
2021-01-01,VIDEODISC,34314
2021-01-01,VISUAL,8
2020-12-01,ATLAS,5
2020-12-01,AUDIOBOOK,134851
2020-12-01,BOOK,108072
2020-12-01,CR,32
2020-12-01,EBOOK,244492
2020-12-01,ER,50
2020-12-01,"ER, SOUNDDISC",9
2020-12-01,"ER, VIDEODISC",17
2020-12-01,LARGEPRINT,87
2020-12-01,MAP,11
2020-12-01,MIXED,307
2020-12-01,MUSIC,243
2020-12-01,MUSICSNDREC,3
2020-12-01,NOTATEDMUSIC,2
2020-12-01,PICTURE,1
2020-12-01,REGPRINT,802
2020-12-01,"REGPRINT, SOUNDDISC",3
2020-12-01,"REGPRINT, VIDEOREC",1
2020-12-01,"SOUNDCASS, SOUNDDISC, SOUNDREC",1
2020-12-01,"SOUNDCASS, SOUNDDISC, VIDEOCASS, VIDEODISC",1
2020-12-01,SOUNDDISC,10637
2020-12-01,"SOUNDDISC, SOUNDREC",1
2020-12-01,"SOUNDDISC, VIDEOCASS",1
2020-12-01,"SOUNDDISC, VIDEODISC",126
2020-12-01,SOUNDREC,40
2020-12-01,UNSPECIFIED,3
2020-12-01,VIDEO,119
2020-12-01,VIDEODISC,31138
2020-12-01,VIDEOREC,4
2020-12-01,VISUAL,9
2020-11-01,ATLAS,9
2020-11-01,AUDIOBOOK,124107
2020-11-01,BOOK,91158
2020-11-01,CR,18
2020-11-01,EBOOK,235396
2020-11-01,ER,45
2020-11-01,"ER, NONPROJGRAPH",1
2020-11-01,"ER, SOUNDDISC",7
2020-11-01,"ER, VIDEODISC",10
2020-11-01,"FLASHCARD, SOUNDDISC",1
2020-11-01,KIT,1
2020-11-01,LARGEPRINT,91
2020-11-01,MAP,16
2020-11-01,MIXED,301
2020-11-01,MUSIC,213
2020-11-01,MUSICSNDREC,2
