"month","subject","checkouts"
2021-12-01,biography & autobiography,23151
2021-12-01,history,16523
2021-12-01,self-improvement,15914
2021-12-01,sociology,14574
2021-12-01,business,12693
2021-12-01,psychology,9700
2021-12-01,politics,7866
2021-12-01,science,7683
2021-12-01,cooking & food,7389
2021-12-01,family & relationships,6242
2021-12-01,health & fitness,6021
2021-12-01,cookbooks,5537
2021-12-01,religion & spirituality,4801
2021-12-01,essays,4654
2021-12-01,new age,4578
2021-12-01,humor (nonfiction),3984
2021-12-01,mythology,3979
2021-12-01,nature,3720
2021-12-01,autobiographies,3507
2021-12-01,medical,3382
2021-12-01,biographies,3134
2021-12-01,philosophy,3100
2021-12-01,juvenile nonfiction,2949
2021-12-01,military,2533
2021-12-01,sports & recreations,2454
2021-12-01,literary criticism,2425
2021-12-01,performing arts,2424
2021-12-01,travel,2418
2021-12-01,true crime,2001
2021-12-01,self help,1971
2021-12-01,economics,1923
2021-12-01,folklore,1866
2021-12-01,reference,1789
2021-12-01,art,1770
2021-12-01,finance,1520
2021-12-01,nonfiction comics,1510
2021-12-01,language arts,1502
2021-12-01,technology,1480
2021-12-01,instructional and educational works,1414
2021-12-01,crafts,1294
2021-12-01,home design & décor,1236
2021-12-01,music,1098
2021-12-01,computer technology,1060
2021-12-01,recipes,1043
2021-12-01,guidebooks,918
2021-12-01,anecdotes,917
2021-12-01,education,889
2021-12-01,lgbtqia+ (nonfiction),848
2021-12-01,songs,724
2021-12-01,handbooks and manuals,712
2021-12-01,cooking,707
2021-12-01,law,667
2021-12-01,spanish language materials,667
2021-12-01,cooking natural foods,650
2021-12-01,gardening,636
2021-12-01,baking,631
2021-12-01,pets,626
2021-12-01,careers,579
2021-12-01,mathematics,549
2021-12-01,quick and easy cooking,506
2021-11-01,biography & autobiography,23426
2021-11-01,history,16684
2021-11-01,self-improvement,14054
2021-11-01,sociology,13980
2021-11-01,business,12000
2021-11-01,psychology,8912
2021-11-01,science,7408
2021-11-01,politics,7396
2021-11-01,cooking & food,6541
2021-11-01,cookbooks,6480
2021-11-01,family & relationships,6014
2021-11-01,health & fitness,5321
2021-11-01,religion & spirituality,4619
2021-11-01,new age,4539
2021-11-01,nature,4087
2021-11-01,essays,4077
2021-11-01,humor (nonfiction),3837
